GENE SYMBOL	HAPLOINSUFFICIENCY SCORE	HAPLOINSUFFICIENCY DESCRIPTION	TRIPLOSENSITIVITY SCORE	TRIPLOSENSITIVITY DESCRIPTION
GENE158	2	Synthetic description	0	No evidence available
GENE159	3	Synthetic description	0	No evidence available
GENE160	3	Synthetic description	0	No evidence available
GENE161	1	Synthetic description	0	No evidence available
GENE162	2	Synthetic description	0	No evidence available
GENE163	3	Synthetic description	0	No evidence available
GENE164	3	Synthetic description	0	No evidence available
GENE165	1	Synthetic description	0	No evidence available
GENE166	2	Synthetic description	0	No evidence available
GENE167	3	Synthetic description	0	No evidence available
GENE168	3	Synthetic description	0	No evidence available
GENE169	1	Synthetic description	0	No evidence available
GENE170	2	Synthetic description	0	No evidence available
GENE171	3	Synthetic description	0	No evidence available
GENE172	3	Synthetic description	0	No evidence available
GENE173	1	Synthetic description	0	No evidence available
GENE174	2	Synthetic description	0	No evidence available
GENE175	3	Synthetic description	0	No evidence available
GENE176	3	Synthetic description	0	No evidence available
GENE177	1	Synthetic description	0	No evidence available
GENE178	2	Synthetic description	0	No evidence available
GENE179	3	Synthetic description	0	No evidence available
GENE180	3	Synthetic description	0	No evidence available
GENE181	1	Synthetic description	0	No evidence available
GENE182	2	Synthetic description	0	No evidence available
GENE183	3	Synthetic description	0	No evidence available
GENE184	3	Synthetic description	0	No evidence available
GENE185	1	Synthetic description	0	No evidence available
GENE186	2	Synthetic description	0	No evidence available
GENE187	3	Synthetic description	0	No evidence available
GENE188	3	Synthetic description	0	No evidence available
GENE189	1	Synthetic description	0	No evidence available
GENE190	2	Synthetic description	0	No evidence available
GENE191	3	Synthetic description	0	No evidence available
GENE192	3	Synthetic description	0	No evidence available
GENE193	1	Synthetic description	0	No evidence available
GENE194	2	Synthetic description	0	No evidence available
GENE195	3	Synthetic description	0	No evidence available
GENE196	3	Synthetic description	0	No evidence available
GENE197	1	Synthetic description	0	No evidence available
GENE198	2	Synthetic description	0	No evidence available
GENE199	3	Synthetic description	0	No evidence available
GENE200	3	Synthetic description	0	No evidence available
GENE201	1	Synthetic description	0	No evidence available
GENE202	2	Synthetic description	0	No evidence available
GENE203	3	Synthetic description	0	No evidence available
GENE204	3	Synthetic description	0	No evidence available
GENE205	1	Synthetic description	0	No evidence available
GENE206	2	Synthetic description	0	No evidence available
GENE207	3	Synthetic description	0	No evidence available
GENE208	3	Synthetic description	0	No evidence available
GENE209	1	Synthetic description	0	No evidence available
GENE210	2	Synthetic description	0	No evidence available
GENE211	3	Synthetic description	0	No evidence available
GENE212	3	Synthetic description	0	No evidence available
GENE213	1	Synthetic description	0	No evidence available
GENE214	2	Synthetic description	0	No evidence available
GENE215	3	Synthetic description	0	No evidence available
GENE216	3	Synthetic description	0	No evidence available
GENE217	1	Synthetic description	0	No evidence available
GENE218	2	Synthetic description	0	No evidence available
GENE219	3	Synthetic description	0	No evidence available
GENE220	3	Synthetic description	0	No evidence available
GENE221	1	Synthetic description	0	No evidence available
GENE222	2	Synthetic description	0	No evidence available
GENE223	3	Synthetic description	0	No evidence available
GENE224	3	Synthetic description	0	No evidence available
GENE225	1	Synthetic description	0	No evidence available
GENE226	2	Synthetic description	0	No evidence available
GENE227	3	Synthetic description	0	No evidence available
GENE228	3	Synthetic description	0	No evidence available
GENE229	1	Synthetic description	0	No evidence available
GENE230	2	Synthetic description	0	No evidence available
GENE231	3	Synthetic description	0	No evidence available
GENE232	3	Synthetic description	0	No evidence available
GENE233	1	Synthetic description	0	No evidence available
GENE234	2	Synthetic description	0	No evidence available
GENE235	3	Synthetic description	0	No evidence available
GENE236	3	Synthetic description	0	No evidence available
GENE237	1	Synthetic description	0	No evidence available
GENE238	2	Synthetic description	0	No evidence available
GENE239	3	Synthetic description	0	No evidence available
GENE240	3	Synthetic description	0	No evidence available
GENE241	1	Synthetic description	0	No evidence available
GENE242	2	Synthetic description	0	No evidence available
GENE243	3	Synthetic description	0	No evidence available
GENE244	3	Synthetic description	0	No evidence available
GENE245	1	Synthetic description	0	No evidence available
GENE246	2	Synthetic description	0	No evidence available
GENE247	3	Synthetic description	0	No evidence available
GENE248	3	Synthetic description	0	No evidence available
GENE249	1	Synthetic description	0	No evidence available
GENE250	2	Synthetic description	0	No evidence available
GENE251	3	Synthetic description	0	No evidence available
GENE252	3	Synthetic description	0	No evidence available
GENE253	1	Synthetic description	0	No evidence available
GENE254	2	Synthetic description	0	No evidence available
GENE255	3	Synthetic description	0	No evidence available
GENE256	3	Synthetic description	0	No evidence available
GENE257	1	Synthetic description	0	No evidence available
GENE258	2	Synthetic description	0	No evidence available
GENE259	3	Synthetic description	0	No evidence available
GENE260	3	Synthetic description	0	No evidence available
GENE261	1	Synthetic description	0	No evidence available
GENE262	2	Synthetic description	0	No evidence available
GENE263	3	Synthetic description	0	No evidence available
GENE264	3	Synthetic description	0	No evidence available
GENE265	1	Synthetic description	0	No evidence available
GENE266	2	Synthetic description	0	No evidence available
GENE267	3	Synthetic description	0	No evidence available
GENE268	3	Synthetic description	0	No evidence available
GENE269	1	Synthetic description	0	No evidence available
GENE270	2	Synthetic description	0	No evidence available
GENE271	3	Synthetic description	0	No evidence available
GENE272	3	Synthetic description	0	No evidence available
GENE273	1	Synthetic description	0	No evidence available
GENE274	2	Synthetic description	0	No evidence available
GENE275	3	Synthetic description	0	No evidence available
GENE276	3	Synthetic description	0	No evidence available
GENE277	1	Synthetic description	0	No evidence available
GENE278	2	Synthetic description	0	No evidence available
GENE279	3	Synthetic description	0	No evidence available
GENE280	3	Synthetic description	0	No evidence available
GENE281	1	Synthetic description	0	No evidence available
GENE282	2	Synthetic description	0	No evidence available
GENE283	3	Synthetic description	0	No evidence available
GENE284	3	Synthetic description	0	No evidence available
GENE285	1	Synthetic description	0	No evidence available
GENE286	2	Synthetic description	0	No evidence available
GENE287	3	Synthetic description	0	No evidence available
GENE288	3	Synthetic description	0	No evidence available
GENE289	1	Synthetic description	0	No evidence available
GENE290	2	Synthetic description	0	No evidence available
GENE291	3	Synthetic description	0	No evidence available
GENE292	3	Synthetic description	0	No evidence available
GENE293	1	Synthetic description	0	No evidence available
GENE294	2	Synthetic description	0	No evidence available
GENE295	3	Synthetic description	0	No evidence available
GENE296	3	Synthetic description	0	No evidence available
GENE297	1	Synthetic description	0	No evidence available
GENE298	2	Synthetic description	0	No evidence available
GENE299	3	Synthetic description	0	No evidence available
