GENE SYMBOL	GENE ID (HGNC)	DISEASE LABEL	DISEASE ID (MONDO)	MOI	SOP	CLASSIFICATION	ONLINE REPORT	CLASSIFICATION DATE	GCEP
GENE143	HGNC:1143	Synthetic disease 143	MONDO:7000143	Autosomal dominant	SOP9	Limited	https://example.org/GENE143	2023-01-01	Synthetic GCEP
GENE144	HGNC:1144	Synthetic disease 144	MONDO:7000144	Autosomal dominant	SOP9	Disputed	https://example.org/GENE144	2023-01-01	Synthetic GCEP
GENE145	HGNC:1145	Synthetic disease 145	MONDO:7000145	Autosomal dominant	SOP9	Definitive	https://example.org/GENE145	2023-01-01	Synthetic GCEP
GENE146	HGNC:1146	Synthetic disease 146	MONDO:7000146	Autosomal dominant	SOP9	Strong	https://example.org/GENE146	2023-01-01	Synthetic GCEP
GENE147	HGNC:1147	Synthetic disease 147	MONDO:7000147	Autosomal dominant	SOP9	Moderate	https://example.org/GENE147	2023-01-01	Synthetic GCEP
GENE148	HGNC:1148	Synthetic disease 148	MONDO:7000148	Autosomal dominant	SOP9	Limited	https://example.org/GENE148	2023-01-01	Synthetic GCEP
GENE149	HGNC:1149	Synthetic disease 149	MONDO:7000149	Autosomal dominant	SOP9	Disputed	https://example.org/GENE149	2023-01-01	Synthetic GCEP
GENE150	HGNC:1150	Synthetic disease 150	MONDO:7000150	Autosomal dominant	SOP9	Definitive	https://example.org/GENE150	2023-01-01	Synthetic GCEP
GENE151	HGNC:1151	Synthetic disease 151	MONDO:7000151	Autosomal dominant	SOP9	Strong	https://example.org/GENE151	2023-01-01	Synthetic GCEP
GENE152	HGNC:1152	Synthetic disease 152	MONDO:7000152	Autosomal dominant	SOP9	Moderate	https://example.org/GENE152	2023-01-01	Synthetic GCEP
GENE153	HGNC:1153	Synthetic disease 153	MONDO:7000153	Autosomal dominant	SOP9	Limited	https://example.org/GENE153	2023-01-01	Synthetic GCEP
GENE154	HGNC:1154	Synthetic disease 154	MONDO:7000154	Autosomal dominant	SOP9	Disputed	https://example.org/GENE154	2023-01-01	Synthetic GCEP
GENE155	HGNC:1155	Synthetic disease 155	MONDO:7000155	Autosomal dominant	SOP9	Definitive	https://example.org/GENE155	2023-01-01	Synthetic GCEP
GENE156	HGNC:1156	Synthetic disease 156	MONDO:7000156	Autosomal dominant	SOP9	Strong	https://example.org/GENE156	2023-01-01	Synthetic GCEP
GENE157	HGNC:1157	Synthetic disease 157	MONDO:7000157	Autosomal dominant	SOP9	Moderate	https://example.org/GENE157	2023-01-01	Synthetic GCEP
GENE158	HGNC:1158	Synthetic disease 158	MONDO:7000158	Autosomal dominant	SOP9	Limited	https://example.org/GENE158	2023-01-01	Synthetic GCEP
GENE159	HGNC:1159	Synthetic disease 159	MONDO:7000159	Autosomal dominant	SOP9	Disputed	https://example.org/GENE159	2023-01-01	Synthetic GCEP
GENE160	HGNC:1160	Synthetic disease 160	MONDO:7000160	Autosomal dominant	SOP9	Definitive	https://example.org/GENE160	2023-01-01	Synthetic GCEP
GENE161	HGNC:1161	Synthetic disease 161	MONDO:7000161	Autosomal dominant	SOP9	Strong	https://example.org/GENE161	2023-01-01	Synthetic GCEP
GENE162	HGNC:1162	Synthetic disease 162	MONDO:7000162	Autosomal dominant	SOP9	Moderate	https://example.org/GENE162	2023-01-01	Synthetic GCEP
GENE163	HGNC:1163	Synthetic disease 163	MONDO:7000163	Autosomal dominant	SOP9	Limited	https://example.org/GENE163	2023-01-01	Synthetic GCEP
GENE164	HGNC:1164	Synthetic disease 164	MONDO:7000164	Autosomal dominant	SOP9	Disputed	https://example.org/GENE164	2023-01-01	Synthetic GCEP
GENE165	HGNC:1165	Synthetic disease 165	MONDO:7000165	Autosomal dominant	SOP9	Definitive	https://example.org/GENE165	2023-01-01	Synthetic GCEP
GENE166	HGNC:1166	Synthetic disease 166	MONDO:7000166	Autosomal dominant	SOP9	Strong	https://example.org/GENE166	2023-01-01	Synthetic GCEP
GENE167	HGNC:1167	Synthetic disease 167	MONDO:7000167	Autosomal dominant	SOP9	Moderate	https://example.org/GENE167	2023-01-01	Synthetic GCEP
GENE168	HGNC:1168	Synthetic disease 168	MONDO:7000168	Autosomal dominant	SOP9	Limited	https://example.org/GENE168	2023-01-01	Synthetic GCEP
GENE169	HGNC:1169	Synthetic disease 169	MONDO:7000169	Autosomal dominant	SOP9	Disputed	https://example.org/GENE169	2023-01-01	Synthetic GCEP
GENE170	HGNC:1170	Synthetic disease 170	MONDO:7000170	Autosomal dominant	SOP9	Definitive	https://example.org/GENE170	2023-01-01	Synthetic GCEP
GENE171	HGNC:1171	Synthetic disease 171	MONDO:7000171	Autosomal dominant	SOP9	Strong	https://example.org/GENE171	2023-01-01	Synthetic GCEP
GENE172	HGNC:1172	Synthetic disease 172	MONDO:7000172	Autosomal dominant	SOP9	Moderate	https://example.org/GENE172	2023-01-01	Synthetic GCEP
GENE173	HGNC:1173	Synthetic disease 173	MONDO:7000173	Autosomal dominant	SOP9	Limited	https://example.org/GENE173	2023-01-01	Synthetic GCEP
GENE174	HGNC:1174	Synthetic disease 174	MONDO:7000174	Autosomal dominant	SOP9	Disputed	https://example.org/GENE174	2023-01-01	Synthetic GCEP
